Timestamp,Conductivity (uS/cm),Specific Conductance (uS/cm),Temperature (C)
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:43,91.1,96.7,22
10/1/2016 11:43,91.1,96.7,22
10/1/2016 11:43,91.1,96.7,22
10/1/2016 11:43,91.1,96.7,22
10/1/2016 11:43,91.1,96.7,22
10/1/2016 11:43,91.1,96.6,22
10/1/2016 11:43,91,96.6,22
10/1/2016 11:43,91,96.6,22
10/1/2016 11:43,91.1,96.6,22
10/1/2016 11:43,91,96.5,22
10/1/2016 11:43,90.9,96.5,22
10/1/2016 11:43,91,96.6,22
10/1/2016 11:43,91.1,96.6,22
10/1/2016 11:43,91.1,96.7,22
10/1/2016 11:43,91.1,96.7,22
10/1/2016 11:43,91.1,96.7,22
10/1/2016 11:43,91.1,96.7,22
10/1/2016 11:43,91.1,96.7,22
10/1/2016 11:43,91.1,96.7,22
10/1/2016 11:43,91.2,96.7,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.1,96.6,22
10/1/2016 11:43,91.1,96.6,22
10/1/2016 11:43,91,96.6,22
10/1/2016 11:43,91,96.6,22
10/1/2016 11:43,91.1,96.7,22
10/1/2016 11:43,91.1,96.7,22
10/1/2016 11:43,91.1,96.7,22
10/1/2016 11:43,91.1,96.7,22
10/1/2016 11:43,91.1,96.7,22
10/1/2016 11:43,91.2,96.7,22
10/1/2016 11:43,91,96.5,22
10/1/2016 11:43,91.1,96.7,22
10/1/2016 11:43,91.1,96.7,22
10/1/2016 11:43,91.1,96.7,22
10/1/2016 11:43,91.2,96.7,22
10/1/2016 11:43,91.2,96.7,22
10/1/2016 11:43,91.2,96.7,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:43,91.2,96.8,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.3,96.8,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.2,96.7,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.3,96.8,22
10/1/2016 11:44,91,96.6,22
10/1/2016 11:44,91.1,96.7,22
10/1/2016 11:44,91.2,96.7,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.2,96.8,22
10/1/2016 11:44,91.2,96.8,22
