Timestamp,Specific Conductance (uS/cm),Temperature (C)
7/11/2017 16:18,276.8,25.2
7/11/2017 16:18,275.8,25.2
7/11/2017 16:18,274.8,25.2
7/11/2017 16:18,273.5,25.2
7/11/2017 16:18,272.4,25.2
7/11/2017 16:19,271.2,25.2
7/11/2017 16:19,270.1,25.2
7/11/2017 16:19,268.8,25.2
7/11/2017 16:19,267.8,25.2
7/11/2017 16:19,266.6,25.3
7/11/2017 16:19,265.2,25.3
7/11/2017 16:19,264.2,25.3
7/11/2017 16:19,262.8,25.3
7/11/2017 16:19,261.7,25.3
7/11/2017 16:19,260.3,25.3
7/11/2017 16:19,259.2,25.3
7/11/2017 16:19,257.9,25.3
7/11/2017 16:20,257,25.3
7/11/2017 16:20,255.8,25.3
7/11/2017 16:20,255,25.3
7/11/2017 16:20,254,25.3
7/11/2017 16:20,253.3,25.3
7/11/2017 16:20,252.5,25.3
7/11/2017 16:20,252,25.3
7/11/2017 16:20,251.3,25.3
7/11/2017 16:20,250.7,25.3
7/11/2017 16:20,250,25.3
7/11/2017 16:20,249.4,25.3
7/11/2017 16:20,248.7,25.3
7/11/2017 16:21,248.1,25.3
7/11/2017 16:21,247.2,25.3
7/11/2017 16:21,246.5,25.3
7/11/2017 16:21,245.8,25.3
7/11/2017 16:21,245.1,25.3
7/11/2017 16:21,244.4,25.3
7/11/2017 16:21,243.8,25.3
7/11/2017 16:21,243.2,25.3
7/11/2017 16:21,242.7,25.3
7/11/2017 16:21,242,25.3
7/11/2017 16:21,241.5,25.3
7/11/2017 16:21,241.1,25.3
7/11/2017 16:22,240.7,25.3
7/11/2017 16:22,240.1,25.3
7/11/2017 16:22,239.7,25.3
7/11/2017 16:22,239.2,25.3
7/11/2017 16:22,238.7,25.3
7/11/2017 16:22,238.3,25.3
7/11/2017 16:22,237.9,25.3
7/11/2017 16:22,237.5,25.3
7/11/2017 16:22,237,25.3
7/11/2017 16:22,236.6,25.3
7/11/2017 16:22,236.1,25.3
7/11/2017 16:22,235.6,25.3
7/11/2017 16:23,235.2,25.3
7/11/2017 16:23,234.8,25.3
7/11/2017 16:23,234.3,25.3
7/11/2017 16:23,233.9,25.3
7/11/2017 16:23,233.6,25.3
7/11/2017 16:23,233.1,25.3
7/11/2017 16:23,232.8,25.3
7/11/2017 16:23,232.4,25.3
7/11/2017 16:23,232,25.3
7/11/2017 16:23,231.5,25.3
7/11/2017 16:23,231.1,25.3
7/11/2017 16:23,230.7,25.3
7/11/2017 16:24,230.2,25.3
7/11/2017 16:24,229.9,25.3
7/11/2017 16:24,229.5,25.3
7/11/2017 16:24,229.1,25.3
7/11/2017 16:24,228.7,25.3
7/11/2017 16:24,228.4,25.3
7/11/2017 16:24,228,25.3
7/11/2017 16:24,227.7,25.3
7/11/2017 16:24,227.3,25.3
7/11/2017 16:24,227,25.3
7/11/2017 16:24,226.7,25.3
7/11/2017 16:24,226.3,25.3
7/11/2017 16:25,226,25.3
7/11/2017 16:25,225.7,25.3
7/11/2017 16:25,225.3,25.3
7/11/2017 16:25,225.1,25.3
7/11/2017 16:25,224.7,25.3
7/11/2017 16:25,224.5,25.3
7/11/2017 16:25,224.1,25.3
7/11/2017 16:25,223.9,25.3
7/11/2017 16:25,223.6,25.3
7/11/2017 16:25,223.4,25.3
7/11/2017 16:25,223,25.3
7/11/2017 16:25,222.7,25.3
7/11/2017 16:26,222.5,25.3
7/11/2017 16:26,222.2,25.3
7/11/2017 16:26,221.9,25.3
7/11/2017 16:26,221.6,25.3
7/11/2017 16:26,221.3,25.3
7/11/2017 16:26,221.1,25.3
7/11/2017 16:26,220.8,25.3
7/11/2017 16:26,220.6,25.3
7/11/2017 16:26,220.3,25.3
7/11/2017 16:26,220.1,25.3
7/11/2017 16:26,219.8,25.3
7/11/2017 16:26,219.6,25.3
7/11/2017 16:27,219.3,25.3
7/11/2017 16:27,219.1,25.3
7/11/2017 16:27,218.8,25.3
7/11/2017 16:27,218.6,25.3
7/11/2017 16:27,218.3,25.3
7/11/2017 16:27,218,25.3
7/11/2017 16:27,217.8,25.3
7/11/2017 16:27,217.5,25.3
7/11/2017 16:27,217.4,25.3
7/11/2017 16:27,217.2,25.3
7/11/2017 16:27,217,25.3
7/11/2017 16:27,216.9,25.3
7/11/2017 16:28,216.7,25.3
7/11/2017 16:28,216.4,25.3
7/11/2017 16:28,216.3,25.3
7/11/2017 16:28,216.1,25.3
7/11/2017 16:28,216,25.3
7/11/2017 16:28,215.9,25.3
7/11/2017 16:28,215.7,25.3
7/11/2017 16:28,215.6,25.3
7/11/2017 16:28,215.6,25.3
7/11/2017 16:28,215.4,25.3
7/11/2017 16:28,215.3,25.3
7/11/2017 16:28,215.2,25.3
7/11/2017 16:29,215,25.3
7/11/2017 16:29,214.9,25.3
7/11/2017 16:29,214.8,25.3
7/11/2017 16:29,214.7,25.3
7/11/2017 16:29,214.6,25.3
7/11/2017 16:29,214.5,25.3
7/11/2017 16:29,214.4,25.3
7/11/2017 16:29,214.3,25.3
7/11/2017 16:29,214.1,25.3
7/11/2017 16:29,213.9,25.3
7/11/2017 16:29,213.7,25.3
7/11/2017 16:29,213.7,25.3
7/11/2017 16:30,213.5,25.3
7/11/2017 16:30,213.4,25.3
7/11/2017 16:30,213.3,25.3
7/11/2017 16:30,213.2,25.3
7/11/2017 16:30,213,25.3
7/11/2017 16:30,213,25.3
7/11/2017 16:30,212.9,25.3
7/11/2017 16:30,212.8,25.3
7/11/2017 16:30,212.7,25.3
7/11/2017 16:30,212.5,25.3
7/11/2017 16:30,212.5,25.3
7/11/2017 16:30,212.4,25.3
7/11/2017 16:31,212.2,25.3
7/11/2017 16:31,212.2,25.3
7/11/2017 16:31,212.1,25.3
7/11/2017 16:31,212,25.3
7/11/2017 16:31,212,25.3
7/11/2017 16:31,211.8,25.3
7/11/2017 16:31,211.8,25.3
7/11/2017 16:31,211.7,25.3
7/11/2017 16:31,211.6,25.3
7/11/2017 16:31,211.6,25.3
7/11/2017 16:31,211.5,25.3
7/11/2017 16:31,211.5,25.3
7/11/2017 16:32,211.4,25.3
7/11/2017 16:32,211.3,25.3
7/11/2017 16:32,211.2,25.3
7/11/2017 16:32,211.1,25.3
7/11/2017 16:32,211,25.3
7/11/2017 16:32,211,25.3
7/11/2017 16:32,210.8,25.3
7/11/2017 16:32,210.8,25.3
7/11/2017 16:32,210.7,25.3
7/11/2017 16:32,210.7,25.3
7/11/2017 16:32,210.6,25.3
7/11/2017 16:32,210.5,25.3
7/11/2017 16:33,210.4,25.3
7/11/2017 16:33,210.3,25.3
7/11/2017 16:33,210.2,25.3
7/11/2017 16:33,210.1,25.3
7/11/2017 16:33,210.1,25.3
7/11/2017 16:33,210,25.3
7/11/2017 16:33,210,25.3
7/11/2017 16:33,209.9,25.3
7/11/2017 16:33,209.9,25.3
7/11/2017 16:33,209.8,25.3
7/11/2017 16:33,209.7,25.3
7/11/2017 16:33,209.7,25.3
7/11/2017 16:34,209.5,25.3
7/11/2017 16:34,209.5,25.3
7/11/2017 16:34,209.5,25.3
7/11/2017 16:34,209.5,25.3
7/11/2017 16:34,209.4,25.3
7/11/2017 16:34,209.3,25.3
7/11/2017 16:34,209.3,25.3
7/11/2017 16:34,209.2,25.3
7/11/2017 16:34,209.1,25.3
7/11/2017 16:34,209.1,25.3
7/11/2017 16:34,209.1,25.3
7/11/2017 16:34,209.1,25.3
7/11/2017 16:35,209,25.3
7/11/2017 16:35,208.9,25.3
7/11/2017 16:35,208.9,25.3
7/11/2017 16:35,208.8,25.3
7/11/2017 16:35,208.8,25.3
7/11/2017 16:35,208.7,25.3
7/11/2017 16:35,208.7,25.3
7/11/2017 16:35,208.6,25.3
7/11/2017 16:35,208.6,25.3
7/11/2017 16:35,208.6,25.3
7/11/2017 16:35,208.5,25.3
7/11/2017 16:35,208.4,25.3
7/11/2017 16:36,208.4,25.3
7/11/2017 16:36,208.4,25.3
7/11/2017 16:36,208.4,25.3
7/11/2017 16:36,208.3,25.3
7/11/2017 16:36,208.3,25.3
7/11/2017 16:36,208.3,25.4
7/11/2017 16:36,208.2,25.4
7/11/2017 16:36,208.2,25.4
7/11/2017 16:36,208.1,25.4
7/11/2017 16:36,208.1,25.4
7/11/2017 16:36,208.1,25.4
7/11/2017 16:36,208,25.4
7/11/2017 16:37,208,25.4
7/11/2017 16:37,208,25.4
7/11/2017 16:37,207.9,25.4
7/11/2017 16:37,207.9,25.4
7/11/2017 16:37,207.9,25.4
7/11/2017 16:37,207.8,25.4
7/11/2017 16:37,207.8,25.4
7/11/2017 16:37,207.8,25.4
7/11/2017 16:37,207.7,25.4
7/11/2017 16:37,207.7,25.4
7/11/2017 16:37,207.7,25.4
7/11/2017 16:37,207.6,25.4
7/11/2017 16:38,207.6,25.4
7/11/2017 16:38,207.6,25.4
7/11/2017 16:38,207.6,25.4
7/11/2017 16:38,207.6,25.4
7/11/2017 16:38,207.6,25.4
7/11/2017 16:38,207.6,25.4
7/11/2017 16:38,207.5,25.4
7/11/2017 16:38,207.5,25.4
7/11/2017 16:38,207.5,25.4
7/11/2017 16:38,207.5,25.4
7/11/2017 16:38,207.5,25.4
7/11/2017 16:38,207.5,25.4
7/11/2017 16:39,207.4,25.4
7/11/2017 16:39,207.4,25.4
7/11/2017 16:39,207.4,25.4
7/11/2017 16:39,207.4,25.4
7/11/2017 16:39,207.4,25.4
7/11/2017 16:39,207.4,25.4
7/11/2017 16:39,207.3,25.4
7/11/2017 16:39,207.3,25.4
7/11/2017 16:39,207.3,25.4
7/11/2017 16:39,207.3,25.4
7/11/2017 16:39,207.2,25.4
7/11/2017 16:39,207.2,25.4
7/11/2017 16:40,207.2,25.4
7/11/2017 16:40,207.1,25.4
7/11/2017 16:40,207.1,25.4
7/11/2017 16:40,207.1,25.4
7/11/2017 16:40,207.1,25.4
7/11/2017 16:40,207.1,25.4
7/11/2017 16:40,207,25.4
7/11/2017 16:40,207,25.4
7/11/2017 16:40,207,25.4
7/11/2017 16:40,207,25.4
7/11/2017 16:40,207,25.4
7/11/2017 16:40,206.9,25.4
7/11/2017 16:41,206.9,25.4
7/11/2017 16:41,206.9,25.4
7/11/2017 16:41,206.9,25.4
7/11/2017 16:41,206.9,25.4
7/11/2017 16:41,206.8,25.4
7/11/2017 16:41,206.9,25.4
7/11/2017 16:41,206.8,25.4
7/11/2017 16:41,206.8,25.4
7/11/2017 16:41,206.8,25.4
7/11/2017 16:41,206.8,25.4
7/11/2017 16:41,206.8,25.4
7/11/2017 16:41,206.8,25.4
7/11/2017 16:42,206.7,25.4
7/11/2017 16:42,206.7,25.4
7/11/2017 16:42,206.7,25.4
7/11/2017 16:42,206.7,25.4
7/11/2017 16:42,206.7,25.4
7/11/2017 16:42,206.7,25.4
7/11/2017 16:42,206.6,25.4
7/11/2017 16:42,206.6,25.4
7/11/2017 16:42,206.6,25.4
7/11/2017 16:42,206.5,25.4
7/11/2017 16:42,206.5,25.4
7/11/2017 16:42,206.5,25.4
7/11/2017 16:43,206.5,25.4
7/11/2017 16:43,206.5,25.4
7/11/2017 16:43,206.4,25.4
7/11/2017 16:43,206.4,25.4
7/11/2017 16:43,206.4,25.4
7/11/2017 16:43,206.3,25.4
7/11/2017 16:43,206.3,25.4
7/11/2017 16:43,206.3,25.4
7/11/2017 16:43,206.3,25.4
7/11/2017 16:43,206.3,25.4
7/11/2017 16:43,206.3,25.4
7/11/2017 16:43,206.3,25.4
7/11/2017 16:44,206.3,25.4
7/11/2017 16:44,206.2,25.4
7/11/2017 16:44,206.3,25.4
7/11/2017 16:44,206.2,25.4
7/11/2017 16:44,206.2,25.4
7/11/2017 16:44,206.2,25.4
7/11/2017 16:44,206.2,25.4
7/11/2017 16:44,206.2,25.4
7/11/2017 16:44,206.2,25.4
7/11/2017 16:44,206.1,25.4
7/11/2017 16:44,206.1,25.4
7/11/2017 16:44,206.1,25.4
7/11/2017 16:45,206.1,25.4
7/11/2017 16:45,206.1,25.4
7/11/2017 16:45,206.1,25.4
7/11/2017 16:45,206.1,25.4
7/11/2017 16:45,206.1,25.4
7/11/2017 16:45,206,25.4
7/11/2017 16:45,206,25.4
7/11/2017 16:45,206.1,25.4
7/11/2017 16:45,206,25.4
7/11/2017 16:45,206,25.4
7/11/2017 16:45,206,25.4
7/11/2017 16:45,206,25.4
7/11/2017 16:46,206,25.4
7/11/2017 16:46,206,25.4
7/11/2017 16:46,206,25.4
7/11/2017 16:46,205.9,25.4
7/11/2017 16:46,205.9,25.4
7/11/2017 16:46,205.9,25.4
7/11/2017 16:46,205.9,25.4
7/11/2017 16:46,205.9,25.4
7/11/2017 16:46,205.9,25.4
7/11/2017 16:46,205.9,25.4
7/11/2017 16:46,205.8,25.4
7/11/2017 16:46,205.9,25.4
7/11/2017 16:47,205.8,25.4
7/11/2017 16:47,205.8,25.4
7/11/2017 16:47,205.9,25.4
7/11/2017 16:47,205.8,25.4
7/11/2017 16:47,205.8,25.4
7/11/2017 16:47,205.8,25.4
7/11/2017 16:47,205.8,25.4
7/11/2017 16:47,205.8,25.4
7/11/2017 16:47,205.7,25.4
7/11/2017 16:47,205.8,25.4
7/11/2017 16:47,205.8,25.4
7/11/2017 16:47,205.7,25.4
7/11/2017 16:48,205.8,25.4
7/11/2017 16:48,205.7,25.4
7/11/2017 16:48,205.7,25.4
7/11/2017 16:48,205.7,25.4
7/11/2017 16:48,205.7,25.4
7/11/2017 16:48,205.7,25.4
7/11/2017 16:48,205.7,25.4
7/11/2017 16:48,205.7,25.4
7/11/2017 16:48,205.7,25.4
7/11/2017 16:48,205.6,25.4
7/11/2017 16:48,205.6,25.4
7/11/2017 16:48,205.7,25.4
7/11/2017 16:49,205.6,25.4
7/11/2017 16:49,205.6,25.4
7/11/2017 16:49,205.6,25.4
7/11/2017 16:49,205.6,25.4
7/11/2017 16:49,205.6,25.4
7/11/2017 16:49,205.6,25.4
7/11/2017 16:49,205.6,25.4
7/11/2017 16:49,205.6,25.4
7/11/2017 16:49,205.5,25.4
7/11/2017 16:49,205.6,25.4
7/11/2017 16:49,205.5,25.4
7/11/2017 16:49,205.6,25.4
7/11/2017 16:50,205.6,25.4
7/11/2017 16:50,205.5,25.4
7/11/2017 16:50,205.5,25.4
7/11/2017 16:50,205.5,25.4
7/11/2017 16:50,205.5,25.4
7/11/2017 16:50,205.5,25.4
7/11/2017 16:50,205.4,25.4
7/11/2017 16:50,205.5,25.4
7/11/2017 16:50,205.5,25.4
7/11/2017 16:50,205.4,25.4
7/11/2017 16:50,205.5,25.4
7/11/2017 16:50,205.5,25.4
7/11/2017 16:51,205.4,25.4
7/11/2017 16:51,205.4,25.4
7/11/2017 16:51,205.4,25.4
7/11/2017 16:51,205.4,25.4
7/11/2017 16:51,205.4,25.4
7/11/2017 16:51,205.4,25.4
7/11/2017 16:51,205.4,25.4
7/11/2017 16:51,205.4,25.4
7/11/2017 16:51,205.4,25.4
7/11/2017 16:51,205.4,25.5
7/11/2017 16:51,205.4,25.5
7/11/2017 16:51,205.3,25.5
7/11/2017 16:52,205.3,25.5
7/11/2017 16:52,205.3,25.5
7/11/2017 16:52,205.3,25.5
7/11/2017 16:52,205.3,25.5
7/11/2017 16:52,205.3,25.5
7/11/2017 16:52,205.3,25.5
7/11/2017 16:52,205.3,25.5
7/11/2017 16:52,205.3,25.5
